"epoch","took","d_loss","g_loss","label","sample_img_name"
"0","6.015","0.14732","3.97717","train_00","train_00.png"
"1","8.486","0.31814","9.00006","train_01","train_01.png"
"2","6.503","0.17566","3.67793","train_02","train_02.png"
"3","7.398","0.56223","2.05194","train_03","train_03.png"
"4","6.763","0.49922","1.54152","train_04","train_04.png"
"5","7.106","1.89459","1.74833","train_05","train_05.png"
"6","11.689","3.44844","0.04804","train_06","train_06.png"
"7","9.315","0.95559","1.76548","train_07","train_07.png"
"8","8.911","0.89434","1.37427","train_08","train_08.png"
"9","8.126","0.56375","3.34669","train_09","train_09.png"
"10","7.983","2.37075","4.50578","train_10","train_10.png"
"11","6.306","0.96659","0.7542","train_11","train_11.png"
"12","6.038","1.8889","0.92797","train_12","train_12.png"
"13","6.838","0.16013","2.35881","train_13","train_13.png"
"14","10.909","0.40098","1.79675","train_14","train_14.png"
"15","13.378","0.8987","2.07063","train_15","train_15.png"
"16","20.26","0.65861","2.25673","train_16","train_16.png"
"17","17.906","3.56582","0.08433","train_17","train_17.png"
"18","12.108","0.44689","2.024","train_18","train_18.png"
"19","9.632","0.84397","1.45643","train_19","train_19.png"
"20","11.475","0.90642","2.18774","train_20","train_20.png"
"21","7.745","0.42413","2.42895","train_21","train_21.png"
"22","10.108","0.39891","2.08976","train_22","train_22.png"
"23","8.146","0.37619","1.78452","train_23","train_23.png"
"24","10.766","0.22839","2.30088","train_24","train_24.png"
"25","8.705","0.41215","1.80273","train_25","train_25.png"
"26","9.614","0.87191","3.15023","train_26","train_26.png"
"27","8.185","0.40309","1.75255","train_27","train_27.png"
"28","10.625","0.98698","1.65552","train_28","train_28.png"
"29","16.962","0.65211","1.44663","train_29","train_29.png"
"30","12.324","0.52588","1.8677","train_30","train_30.png"
"31","13.173","0.30269","1.90853","train_31","train_31.png"
"32","11.975","0.85408","4.44927","train_32","train_32.png"
"33","11.505","0.56779","2.04074","train_33","train_33.png"
"34","10.113","0.44135","4.07668","train_34","train_34.png"
"35","9.287","0.49532","3.34085","train_35","train_35.png"
"36","10.719","0.30655","2.22986","train_36","train_36.png"
"37","7.713","0.51354","2.50422","train_37","train_37.png"
"38","7.059","0.78134","3.08042","train_38","train_38.png"
"39","9.899","0.53702","2.0713","train_39","train_39.png"
"40","8.284","0.15687","3.09893","train_40","train_40.png"
"41","6.371","1.12422","1.42031","train_41","train_41.png"
"42","6.692","0.83051","1.25939","train_42","train_42.png"
"43","11.573","1.12381","0.76296","train_43","train_43.png"
"44","4.816","0.39612","2.45682","train_44","train_44.png"
"45","6.681","0.37089","2.49582","train_45","train_45.png"
"46","6.03","0.19506","2.17114","train_46","train_46.png"
"47","6.445","0.8958","3.84285","train_47","train_47.png"
"48","8.839","0.61558","4.35276","train_48","train_48.png"
"49","8.068","0.65874","1.68696","train_49","train_49.png"
"50","6.927","1.46648","1.01658","train_50","train_50.png"
"51","6.988","2.58137","0.18689","train_51","train_51.png"
"52","8.025","0.98611","2.52153","train_52","train_52.png"
"53","7.995","2.37847","0.59064","train_53","train_53.png"
"54","13.209","0.44582","2.34634","train_54","train_54.png"
"55","10.271","0.34872","1.8557","train_55","train_55.png"
"56","11.429","0.44734","2.13232","train_56","train_56.png"
"57","10.814","0.44373","6.44805","train_57","train_57.png"
"58","10.313","0.94402","1.19096","train_58","train_58.png"
"59","8.845","0.59462","1.95847","train_59","train_59.png"
"60","14.755","1.40247","1.31963","train_60","train_60.png"
"61","8.899","0.95399","1.89271","train_61","train_61.png"
"62","9.815","0.1198","2.82088","train_62","train_62.png"
"63","9.662","0.6242","2.28627","train_63","train_63.png"
"64","8.029","0.34255","3.30505","train_64","train_64.png"
"65","10.497","0.44686","2.20341","train_65","train_65.png"
"66","10.413","0.57075","2.13352","train_66","train_66.png"
"67","12.149","0.53983","2.05688","train_67","train_67.png"
"68","9.191","1.14349","1.39472","train_68","train_68.png"
"69","9.349","1.08698","4.61517","train_69","train_69.png"
"70","8.909","1.39392","2.38767","train_70","train_70.png"
"71","10.455","0.5817","1.91239","train_71","train_71.png"
"72","9.206","0.91602","1.21829","train_72","train_72.png"
"73","9.924","0.71181","2.94971","train_73","train_73.png"
"74","9.973","3.71232","10.71044","train_74","train_74.png"
"75","10.018","0.4607","1.77249","train_75","train_75.png"
"76","6.664","1.00046","1.09117","train_76","train_76.png"
"77","10.29","0.56421","2.34269","train_77","train_77.png"
"78","8.36","1.59655","1.19079","train_78","train_78.png"
"79","9.072","0.48078","2.68626","train_79","train_79.png"
"80","8.141","0.95893","3.65269","train_80","train_80.png"
"81","8.217","0.87882","1.30348","train_81","train_81.png"
"82","7.408","0.83675","2.17434","train_82","train_82.png"
"83","8.567","0.64285","1.92103","train_83","train_83.png"
"84","7.206","0.38204","3.2008","train_84","train_84.png"
"85","7.564","0.79785","1.09334","train_85","train_85.png"
"86","7.011","0.60521","2.06079","train_86","train_86.png"
"87","5.508","0.86956","1.22491","train_87","train_87.png"
"88","7.722","0.48458","2.10152","train_88","train_88.png"
"89","7.174","1.13293","1.86516","train_89","train_89.png"
"90","7.065","0.69492","3.3952","train_90","train_90.png"
"91","6.539","0.37608","3.00606","train_91","train_91.png"
"92","8.758","0.38946","2.32347","train_92","train_92.png"
"93","8.145","0.47665","2.25943","train_93","train_93.png"
"94","10.666","0.888","1.54966","train_94","train_94.png"
"95","7.058","0.94141","5.24963","train_95","train_95.png"
"96","9.415","1.2717","0.92655","train_96","train_96.png"
"97","7.284","0.71338","1.16499","train_97","train_97.png"
"98","12.919","0.92338","1.28135","train_98","train_98.png"
"99","9.99","0.48019","2.79254","train_99","train_99.png"
